option_id,zip,rent_band,tags,summary,disclaimer
SYN-33122,33122,2200-2800,"quiet,pet_friendly",Explore ZCTA5 33122 (ZIP 33122). Public data shows migration score 1.00 and median rent ~$2370.,NOT A REAL LISTING — demo option only.
SYN-33132,33132,2200-2800,"transit,social,walkable",Explore Edgewater (ZIP 33132). Public data shows migration score 0.74 and median rent ~$2373.,NOT A REAL LISTING — demo option only.
SYN-33146,33146,2200-2800,"quiet,pet_friendly",Explore Coral Gables/U.M. (ZIP 33146). Public data shows migration score 0.70 and median rent ~$2571.,NOT A REAL LISTING — demo option only.
SYN-33131,33131,2200-2800,"transit,social,walkable",Explore South Beach (ZIP 33131). Public data shows migration score 0.62 and median rent ~$2649.,NOT A REAL LISTING — demo option only.
SYN-33139,33139,1200-1800,"transit,social,walkable",Explore Miami Beach (ZIP 33139). Public data shows migration score 0.53 and median rent ~$1680.,NOT A REAL LISTING — demo option only.
SYN-33137,33137,1800-2200,"transit,social,walkable",Explore Design District (ZIP 33137). Public data shows migration score 0.48 and median rent ~$2142.,NOT A REAL LISTING — demo option only.
SYN-33178,33178,2200-2800,"quiet,pet_friendly",Explore Doral (ZIP 33178). Public data shows migration score 0.47 and median rent ~$2466.,NOT A REAL LISTING — demo option only.
SYN-33130,33130,1200-1800,"transit,social,walkable",Explore Brickell (ZIP 33130). Public data shows migration score 0.45 and median rent ~$1553.,NOT A REAL LISTING — demo option only.
SYN-33109,33109,1200-1800,"quiet,pet_friendly",Explore ZCTA5 33109 (ZIP 33109). Public data shows migration score 0.43 and median rent ~$-666666666.,NOT A REAL LISTING — demo option only.
SYN-33141,33141,1200-1800,"quiet,pet_friendly",Explore Biscayne North (ZIP 33141). Public data shows migration score 0.42 and median rent ~$1634.,NOT A REAL LISTING — demo option only.
SYN-33140,33140,1800-2200,"quiet,pet_friendly",Explore Mid-Beach (ZIP 33140). Public data shows migration score 0.42 and median rent ~$1912.,NOT A REAL LISTING — demo option only.
SYN-33133,33133,1800-2200,"quiet,pet_friendly",Explore Coconut Grove (ZIP 33133). Public data shows migration score 0.41 and median rent ~$1824.,NOT A REAL LISTING — demo option only.
SYN-33136,33136,1200-1800,"transit,social,walkable",Explore Health District (ZIP 33136). Public data shows migration score 0.39 and median rent ~$1177.,NOT A REAL LISTING — demo option only.
SYN-33128,33128,1200-1800,"transit,social,walkable",Explore Downtown (ZIP 33128). Public data shows migration score 0.39 and median rent ~$1191.,NOT A REAL LISTING — demo option only.
SYN-33181,33181,1200-1800,"transit,social,walkable",Explore North Miami (ZIP 33181). Public data shows migration score 0.38 and median rent ~$1530.,NOT A REAL LISTING — demo option only.
